id,bene,libro,provincia,comune,compilazione,href,categoria
173,Coltivazione della Vite ad Alberello,REI - Libro dei saperi,Trapani,Pantelleria,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/154,Tecnica artigiana
174,Torrone di Caltanissetta,REI - Libro dei saperi,Caltanissetta,Caltanissetta,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/122,Prodotto tipico locale
175,Rogo delle Barche alla Bandita per San Giuseppe,REI - Libro delle celebrazioni,Palermo,Palermo,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/61,Festa/Cerimonia
176,Edicole Votive a Salina,REI - Libro delle espressioni,Messina,Santa Marina Salina,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/98,Espressione
177,Festa e Palio dell'Ascensione,REI - Libro delle celebrazioni,Siracusa,Floridia,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/75,Rappresentazione/Spettacolo
178,U Trunfu,REIS - Libro delle Pratiche Espressive e dei Repertori Orali,Messina,Tortorici,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/178,Gioco tradizionale
179,Festa in onore di San Giovanni Battista,"REIS - Libro delle Celebrazioni, delle Feste e delle Pratiche Rituali",Catania,Aci Castello,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/179,Festa/Cerimonia
180,Domenico Di Mauro - Artista del carretto siciliano,REIS - Libro dei Tesori Umani Viventi,Catania,Aci Sant'Antonio,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/180,Tesoro umano vivente
181,Festa di San Cono,"REIS - Libro delle Celebrazioni, delle Feste e delle Pratiche Rituali",Messina,Naso,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/181,Festa patronale
182,Settimana Santa,"REIS - Libro delle Celebrazioni, delle Feste e delle Pratiche Rituali",Ragusa,Ispica,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/182,Festa pasquale
183,Ladata o Lamintanza,REIS - Libro delle Pratiche Espressive e dei Repertori Orali,Caltanissetta,Caltanissetta,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/183,Repertori polivocali
184,"Festa del ""Muzzuni""","REIS - Libro delle Celebrazioni, delle Feste e delle Pratiche Rituali",Messina,Alcara li Fusi,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/184,Festa/Cerimonia
185,Festa in onore di San Nicolò Politi,"REIS - Libro delle Celebrazioni, delle Feste e delle Pratiche Rituali",Messina,Alcara li Fusi,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/185,Festa patronale
186,Barche in Legno Trezzote,"REIS - Libro dei Mestieri, dei Saperi e delle Tecniche",Catania,Aci Castello,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/186,Tecnica artigiana
187,Festino di San Silvestro,"REIS - Libro delle Celebrazioni, delle Feste e delle Pratiche Rituali",Enna,Troina,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/187,Festa patronale
188,Frottole di Isnello,REIS - Libro delle Pratiche Espressive e dei Repertori Orali,Palermo,Isnello,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/189,Canto religioso
189,Paolo Rapisarda - Artista del carretto siciliano,REIS - Libro dei Tesori Umani Viventi,Catania,Aci Sant'Antonio,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/191,Tesoro umano vivente
190,Rosario D'Agata - Artista del carretto siciliano,REIS - Libro dei Tesori Umani Viventi,Catania,Viagrande,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/192,Tesoro umano vivente
191,Antonio Zappalà - Artista del carretto siciliano,REIS - Libro dei Tesori Umani Viventi,Catania,Aci Sant'Antonio,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/190,Tesoro umano vivente
192,Salvatore Chiarenza - Artista del carretto siciliano,REIS - Libro dei Tesori Umani Viventi,Catania,Acireale,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/193,Tesoro umano vivente
193,"Venera Chiarenza, detta Nerina - Artista del carretto siciliano",REIS - Libro dei Tesori Umani Viventi,Catania,Aci Sant'Antonio,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/194,Tesoro umano vivente
194,Carnevale Luciese,"REIS - Libro delle Celebrazioni, delle Feste e delle Pratiche Rituali",Messina,Santa Lucia del Mela,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/195,Festa
195,Festa patronale di S. Giovanni Battista,"REIS - Libro delle Celebrazioni, delle Feste e delle Pratiche Rituali",Ragusa,Ragusa,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/196,Festa patronale
